cycle_number,qqq_ath_date,qqq_ath_price,qqq_low_date,qqq_low_price,qqq_recovery_date,qqq_recovery_price,qqq_drawdown_pct,qqq_dd_duration_days,qqq_recovery_duration_days,qqq_total_duration_days,qqq_dd_change_pct,qqq_recovery_change_pct,tqqq_ath_price,tqqq_low_price,tqqq_recovery_price,tqqq_drawdown_pct,tqqq_dd_change_pct,tqqq_recovery_change_pct,,
1,4/9/1999,47.3124,4/19/1999,41.9901,4/26/1999,47.9763,-11.2492708,10,7,17,-11.2492708,14.25621754,,,,,,,,
2,4/26/1999,47.9763,5/25/1999,42.2562,6/21/1999,48.0828,-11.92276186,29,27,56,-11.92276186,13.78874579,,,,,,,,
3,7/16/1999,52.0386,8/10/1999,45.8959,8/25/1999,52.1423,-11.80412232,25,15,40,-11.80412232,13.6099303,,,,,,,,
4,1/3/2000,80.3374,1/6/2000,67.911,1/19/2000,81.3889,-15.4677647,3,13,16,-15.4677647,19.84641663,,,,,,,,
5,1/21/2000,81.6044,1/28/2000,72.9132,2/3/2000,81.8195,-10.65040611,7,6,13,-10.65040611,12.21493502,,,,,,,,
6,3/9/2000,97.491,3/15/2000,87.2214,3/23/2000,98.3624,-10.53389544,6,8,14,-10.53389544,12.77324143,,,,,,,,
7,3/27/2000,99.8201,10/9/2002,17.0068,2/20/2015,100.05,-82.96254963,926,4517,5443,-82.96254963,488.2940941,,,4.629,,,,,
8,7/20/2015,105.685,8/25/2015,90.9632,10/28/2015,105.963,-13.92988598,36,64,100,-13.92988598,16.48996517,5.2975,3.3248,5.063,-37.23831996,-37.23831996,52.27983638,,
9,12/1/2015,107.04,2/9/2016,89.8112,7/27/2016,107.444,-16.09566517,70,169,239,-16.09566517,19.63318606,5.1905,2.9382,4.823,-43.39273673,-43.39273673,64.1481179,,
10,1/26/2018,162.635,2/8/2018,146.017,3/9/2018,164.752,-10.21797276,13,29,42,-10.21797276,12.8306978,15.135,10.812,15.28,-28.5629336,-28.5629336,41.32445431,,
11,3/12/2018,165.615,4/2/2018,148.186,6/4/2018,166.115,-10.52380521,21,63,84,-10.52380521,12.09898371,15.508,10.906,14.967,-29.67500645,-29.67500645,37.23638364,,
12,8/29/2018,178.349,12/24/2018,137.686,4/12/2019,178.631,-22.79967928,117,109,226,-22.79967928,29.73795448,18.088,7.582,15.612,-58.08270677,-58.08270677,105.9087312,,
13,5/3/2019,183.69,6/3/2019,163.526,7/3/2019,184.416,-10.97718983,31,30,61,-10.97718983,12.77472695,16.886,11.748,16.607,-30.42757314,-30.42757314,41.36023153,,
14,2/19/2020,229.255,3/16/2020,163.79,6/3/2020,229.482,-28.55553859,26,79,105,-28.55553859,40.10745467,29.515,9.3125,21.655,-68.44824665,-68.44824665,132.5369128,,
15,9/2/2020,294.055,9/23/2020,256.94,12/1/2020,295.172,-12.62178844,21,69,90,-12.62178844,14.87973846,43.632,28.198,41.058,-35.37312065,-35.37312065,45.60607135,,
16,2/12/2021,327.845,3/8/2021,292.27,4/9/2021,328.903,-10.85116442,24,32,56,-10.85116442,12.53395833,55.055,38.3,53.635,-30.43320316,-30.43320316,40.03916449,,
17,12/27/2021,395.055,11/3/2022,256.313,12/13/2023,399.958,-35.11966688,311,405,716,-35.11966688,56.04280704,86.695,17.15,48.74,-80.21800565,-80.21800565,184.1982507,,
18,7/10/2024,500.7,8/7/2024,432.816,11/6/2024,504.015,-13.55781905,28,91,119,-13.55781905,16.45017744,84.93,53.19,78.86,-37.37195337,-37.37195337,48.26095131,,
19,2/19/2025,538.717,4/8/2025,416.06,6/24/2025,539.78,-22.76835518,48,77,125,-22.76835518,29.73609576,90.4,38.9,78.1,-56.96902655,-56.96902655,100.7712082,,
